,Code,Website,Address,Phone,Directors
12,KLR,https://www.kailigroup.com.au,87-89 Liverpool Street,612 9246 6288,"['Mr. Long  Zhao', 'Mr. Onn Chong  Wing', 'Ms. Dongmei  Ye C.P.A., MAcc. CPA']"
13,NPM,https://newpeak.com.au,111 Eagle Street,61 7 3303 0650,"['Mr. David Joseph Mason B.Sc., M.A.I.C.D., M.B.A.', 'Mr. John  Haley']"
14,PRM,https://www.prominenceenergy.com.au,30 Richardson Street,61 8 9321 9886,"['Mr. Alexander Bevan Parks GAICD, MEng', 'Mr. Sonu  Cheema B.Com., CPA']"
15,PHL,https://propell.investorportal.com.au,15 Mayneview Street,1300 804 091,"['Mr. Michael Kane Davidson', 'Mr. Gary  Hazelwood', 'Mr. Jeremy Grant Loftus', 'Mr. Shawn  Loy', 'Mr. Adam  Gallagher']"
16,PKO,https://www.peako.com.au,10 Yarra Street,61 3 8610 4723,"['Ms. Raewyn Louise Clark A.C.I.S., ACIS, AGIA, B.Bus(dist), C.A., CA, M.A.I', 'Mr. Justin  Mouchacca B.Bus (Acc), C.A., CA']"
17,DAL,https://www.dalaroometals.com.au,346 Barker Road,61 8 6380 9675,"['Mr. Harjinder Singh Kehal B.Sc.', 'Mr. John Phillip Arbuckle B.Bus, CPA']"
18,RGS,https://regeneus.com.au,16 Goodhope Street,61 1300 995 098,"['Mr. Karolis  Rosickas', 'Prof. Graham  Vesey Ph.D.', 'Dr. Charlotte  Morgan Ph.D.', 'Ling Leung Hang']"
19,C7A,https://clararesources.com.au,10 Eagle Street,61 7 3303 0192,"['Mr. Pier  Westerhuis BEng, MBA', 'Mr. John  Haley']"
20,MGA,https://metalsgrove.com.au,123A Colin Street,61 8 6388 2725,"['Mr. Anbarasan  Sivasamy MAusIMM', 'Ms. Rebecca  Broughton B.Com., C.A.']"
21,JTL,https://www.jayex.com.au,17B Cribb Street,,"['Mr. Robert  Hadley', 'Ms. Melanie Jaye Leydin B.Bus, C.A.']"
22,OMX,https://www.orangeminerals.com.au,7 Havelock Street,61 8 6102 2039,"['Mr. David Hugh Greenwood', 'Mr. Johnathon  Busing BBus, C.A., CA']"
23,MSG,https://mcssecurity.com.au,"3/108, Winton Road",61 8 9301 2420,"['Mr. Paul Robert Simmons', 'Mr. Mark  Englebert', 'Mr. Jonathan Paul Asquith BA (Hons), CA, MBA', 'Mr. Michael  Georgiou']"
24,LRD,https://lordresources.com,389 Oxford Street,61 8 9380 6789,"['Mr. Barnaby  Egerton-Warburton B.Ec., BECON, GAICD', 'Ms. Georgina  Clark']"
25,OKJ,https://www.oakajeecorp.com.au,39 Clifton Street,61 8 9389 6032,"['Mr. Mark Wesley Jones', 'Mr. Henko  Vos']"
26,EMU,https://www.emunl.com.au,10 Walker Avenue,61 8 9226 4266,"['Doug  Grewar', 'Mr. Damien Paul Kelly BCom, CPA, FFINSIA, MBA']"
27,WEL,https://www.winchesterenergyltd.com,10 Outram Street,61 8 9200 3743,"['Mr. Douglas  Holland', 'Brian  Mallick', 'Austin  Gard', 'Eldar  Hasanov', 'Julian  Ayala', 'Mr. Stephen  Hermeston', 'Edward J. May']"
28,M24,https://www.mambaexploration.com.au,25 Richardson Street,61 8 6557 6616,"['Mr. Simon  Andrew B.Sc.', 'Ms. Amanda  Burgess CPA']"
29,JAV,https://www.javelinminerals.com.au,141 St Georges Terrace,61 8 6316 2200,"['Mr. Matthew  Blake B.Com.', 'Mr. Scott Adrian Mison A.C.A., A.C.I.S., ACIS & ACSA, AGIA, B Arts, B.A.']"
30,PKD,https://www.parkdgroup.com,337 Harborne Street,61 8 9429 8863,"['Mr. Peter  McUtchen', 'Mr. Kevin  Hart B.Com., F.C.A., B.Comm, FCA']"
31,GCR,https://www.goldencross.com.au,Unit 401 Level 4,61 2 8379 5705,"['Mr. Guocheng  Li BA, M.A.I.C.D., M.B.A., MBA', 'Mr. Bret  Ferris BAppSci, GdDipCmptgStu, MAIG', 'Ms. Carolyn  Jacobs', 'Mr. Patrick Sam Yue']"
32,NYM,https://www.narryer.com.au,945 Wellington Street,61 8 9322 7600,"['Dr. Gavin  England BSc (Hons)', 'Ms. Emma Jane Wates', ""Mr. Cameron  O'Brien""]"
33,KEY,https://www.keypetroleum.com.au,3B Macquarie Street,61 2 9251 9088,"['Mr. Louis Li  Chien M.B.A.', 'Mr. Ian Edward Gregory B.Bus, F Fin, FCIS, FGIA, M.A.I.C.D.']"
34,IVT,https://www.inventis.com.au,2 Southridge Street,61 2 8808 0400,"['Mr. Anthony  Mankarios B.Bus ChemEng, CFTP, FAICD, MBA (SGSM)', 'Mr. Michael  Green ACC, B.Com., C.P.A.', 'Matt  Brown', 'Mr. Jeffry  Stone', 'Benjamin  Jacka', 'Ms. Chantelle  Knight']"
35,HXL,https://hexima.com.au,La Trobe Institute for Molecular Science,61 3 9479 1210,"['Ms. Helen  Molloy', 'Prof. Marilyn A. Anderson A.O., AO, B.Sc., BSc (Hons), FAA, FAICD, FT', 'Dr. Nancy  Sacco Ph.D.', 'Mr. Geoffrey Paul Kempler B.Sc.', 'Dr. Neil  Forrester', 'Ms. Leanne  Ralph']"
36,SKN,https://skinelementslimited.com,1242 Hay Street,61 8 6311 1900,"['Mr. Peter Francis Malone M.B.A., B.Arch MBA', 'Mr. Craig Leslie Piercy BBus CA', 'Mr. Leo  Fung', 'Mr. Stuart Douglas Usher A.C.I.S., B.Bus., CPA, Grad.Dip. CSP, MBA, MBA B.B']"
37,AFW,https://www.applyflow.com,126 Philip Street,61 2 8072 1400,"['Richard  Swanton', 'Alison  Crealy', 'Mr. David James Franks BEc, C.A., F Fin, J.P.']"
38,AIV,https://www.activex.com.au,3B Macquarie Street,61 2 9251 9088,"['Mr. Mark  Derriman B.Sc., M.B.A., P.Geo.', 'Mr. Xusheng  Ke M.Sc., MAusIMM, M.Eng, M.Sc (Geo)', 'Mr. Chi Yuen  Kuan ACIS, FCPA']"
39,YPB,https://www.ypbsystems.com,126 Phillip Street,61 8 6555 2950,"['Mr. John  Houston', 'Mr. Martin David Ross', 'Mr. Colin  Turner', 'Ms. Lucy  Rowe', 'Ms. Shelby  Coleman']"
40,KLI,https://killi.com.au,945 Wellington Street,61 8 9322 7600,"['Ms. Kathryn Mary Davies Cutler', 'Ms. Emma  Wates B.Com, CA, CSA']"
41,ENT,https://www.enterprisemetals.com.au,7 Ventnor Avenue,61 8 6381 0392,"['Mr. Graeme Ian Smith BEc, FCIS, FCPA, FCSA, MAusIMM, MBA, Mcomlaw']"
42,SIS,https://www.simblegroup.com,383 George Street,61 2 8208 3366,"['Mr. Ben Feuvre Loiterton B.Com., L.L.B., LLB (UNSW)', 'Mr. Fadi  Geha', 'Mr. Bill  McGhie', 'Ms. Kim  Clark']"
43,IS3,https://www.i-synergygroup.com,191 St Georges Terrace,61 2 8072 1400,"['Mr. Chee Hong  Teo', 'Mr. Swee Seong Mun Hoo', 'Mr. Chung Piow Chu', 'Ms. Huay Koh Shuk', 'Mr. Luke  Derbyshire', 'Mr. Poh Seng Ong', 'Ms. Jolini  Jothi', 'Mr. Han Keong Ong', 'Mr. Daniel  Chew', 'Mr. Muhammad Hibatul Muqlis']"
44,NES,https://nelsonresources.com.au,99 St Georges Terrace,61 8 9486 4036,"['Mr. Nicholas  Ong', 'Ms. Tanan  Jargalsaikhan', 'Mr. Simon  Coxhell MAusIMM', 'Mr. Antony William Worth BSc']"
45,SRR,https://www.saramaresources.com,245 Churchill Avenue,61 8 9363 7600,"['Mr. Andrew Robert Mune Dinning BEng, MBA', 'Mr. John V. Hamilton', 'Mr. Lui  Evangelista', 'Mr. Paul R. Schmiede']"
46,OEQ,https://www.orionequities.com.au,Suite 1,+61 8 9214 9797,"['Mr. Farooq  Khan BJuris, L.L.B., LLB', 'Mr. Poh Hong Ho B.Com, B.Com., CTA, L.L.B., LLB']"
47,8VI,https://www.8viholdings.com,"No. 01-01, 1557 Keppel Road",65 6225 8480,"['Mr. Che Koon  Tan', 'Mr. Kuan Tat  Chee', 'Ms. Ming Li  Low', 'Mr. Wee Boon  Siah', 'Yi Lin  Goh', 'Dr. Junyang  Kao', 'Mr. Will  Huang', 'Mr. Junxian  Lee', 'Mr. Chris  Chan', 'Ms. Lynne  Chai']"
48,SCT,https://www.scoutalarm.com,210 George Street,61 8 6141 3500,"['Mr. Ryan M. McCall', 'Mr. Daniel B. Roberts', 'Mr. Kevin  Brennan', 'Ms. Hilari  Smith', 'Mr. John B. Strong', 'Ms. Kim  Clark', 'Mr. Michael  Shaw-Taylor']"
49,FFF,https://www.forbiddenfoods.com.au,16/663 Victoria Street,,"['Mr. Marcus  Brown', 'Mr. Jarrod  Milani', 'Mr. Alex  Aleksic CPA, M.B.A.', 'Ms. Lucy  Rowe']"
50,GNM,https://www.greatnorthernminerals.com.au,33 Colin Street,61 8 6214 0148,"['Mr. Cameron  McLean', 'Mr. Mike  Barr', 'Ms. Aida  Tabakovic']"
51,NNG,https://www.nexiongroup.io,12 Newcastle Street,61 8 9441 4835,"['Mr. Peter Alister Charles Christie', 'Mr. Kevin  Read', 'Mr. John  Bell', 'Mr. Luke  Poyner', 'Mr. Jack Hugh Toby F.C.A., FCA, MACS', 'Mr. Jamie  Morgan']"
52,OCT,https://octavaminerals.com,234 Churchill Avenue,,"['Mr. Bevan  Wakelam', 'Mr. Mark Edward Pitts B Bus, F.C.A., FCA, GAICD', 'Mr. David W. McBain']"
53,AHN,https://www.athenaresources.com.au,21 Millstream Rise,61 4 4889 5664,"['Mr. Edmond William Edwards ACA, BCom, FAICD', 'Mr. Liam Patrick Kelly']"
54,DMM,https://www.dmcmining.com.au,44 St Georges Terrace,61 8 6316 4674,"['Mr. David Thomas Sumich M.A.I.C.D.', 'Mr. Bruce Roberts Errol Franzen B.Bus. CPA, FCPA, FFin']"
55,AMT,https://www.allegraorthopaedics.com,18-20 Orion Road,61 2 9119 9200,"['Ms. Jennifer  Swain', 'Mr. Vincent  Wang', 'Ms. Ellen  Newsom', 'Ms. Robyn  Slaughter']"
56,BP8,https://www.scu.com.sg,"Block Arcade, 96 Elizabeth St.",61 2 8072 1400,"['Mr. Matthew  Leonard', 'Mr. Chow-Yee  Koh', 'Mr. Francesco  Cannavo', 'Ms. Belinda  Cleminson', 'Ms. Shelby  Coleman']"
57,DY6,https://dy6metals.com,99 St George Terrace,61 8 9486 4036,"['Mr. Lloyd  Kaiser', 'Mr. John  Kay L.L.B.', 'Muhammed Aasin Hassam']"
58,DUN,https://www.dundasminerals.com,100 Railway Road,61 4 5702 4143,"['Mr. Shane Raymond Volk A.C.I.S., AGIA, BBus (Acc), CS, CSA, GradDip (ACG)', 'Mr. Mike  Northcott B.Sc.']"
59,M2M,https://www.mtmalcolm.com.au,8 Sarich Court,61 8 6244 6617,"['Mr. Trevor John Dixon', 'Mr. Paul Joseph Maher', 'Mr. Henko  Vos']"
60,M2R,https://www.miramarresources.com.au,22 Hardy Street,61 8 6166 6302,"['Mr. Allan John Kelly B.Sc., BSc (Hons), FAAG, Grad Cert Bus, MAIG', 'Ms. Marion  Bush', 'Ms. Mindy  Ku']"
61,TAS,https://www.tasmanresources.com.au,197 St George’s Terrace,61 8 9282 5889,"['Mr. Gregory Howard Solomon L.L.B., LLB', 'Mr. Jamie M. Scoringe B.Com., CPA']"
62,IBX,https://imagionbiosystems.com,5601 Oberlin Drive,855 564 5264,"['Mr. Robert Romeo Proulx', 'Mr. Geoff  Hollis AGIA, BComm, CA']"
63,C1X,https://www.cosmosx.com.au,338 Barker Road,61 8 6143 6720,"['Mr. Jeremy Kim Robinson B.Com.', 'Mr. James Timothy Bahen B.Com.', 'Mr. Kristian  Hendricksen', 'Mr. Robert  Featherby']"
64,SQX,https://www.sqxresources.com,349 Hay Street,,"['Mr. Patric Michael Glovac', 'Mr. Craig John McPherson B.Com, B.Com., CA', 'Mr. Ian  Kelso', 'Mr. Quinton  Meyers B.Com., C.A.']"
65,ADC,https://acdcmetals.com.au,111 Collins Street,61 3 8548 7880,"['Mr. Thomas  Davidson', 'Mr. Mark Stephen Saxon B.Sc.(Hons), FAUSIMM, GDipAppFin, MAIG, MAusIMM', 'Mr. Andrew John Draffin B.Bus, B.Com., CA']"
66,EMS,https://easternmetals.com.au,210 George Street,61 2 9290 9600,"['Mr. Robert Harry Duffin B.Sc., BSc (Hons), FAusIMM CP, Grad Dip Mgt, M.Sc.', 'Ms. Leyann  Kingdom', 'Mr. Ian Henry Morgan A.C.I.S., ACIS, B.Bus, C.A., CA, F Fin, GDip App F']"
67,KOR,https://www.korabresources.com,20 Prowse Street,61 8 9474 6166,"['Mr. Andrej Kazimierz Karpinski FAICD, FAIBE, ASIA, SPE, F Fin']"
68,CBH,https://coolabahmetals.com.au,London House,61 8 9481 0389,"['Mr. Cameron  Provost', 'Mr. Alan David Stephen Armstrong C.A., CA']"
69,DTM,https://dartmining.com.au,10/204 Melbourne Road,61 2 9597 1198,"['Mr. James Miller Chirnside', 'Ms. Julie  Edwards', 'Ms. Pam  Noonan', 'Dr. Benjamin  Hines']"
70,REM,https://remsense.com.au,580 Hay Street,61 8 6118 5610,"['Ms. Jillian  Rosich', 'Warren  Cook', 'Ms. Fiona  Brown', 'Mr. David Maxwell McArthur']"
71,SLZ,https://www.sultanresources.com.au,23 Railway Road,61 8 6559 1792,['Ms. Hannah  Cabatit']
72,ERG,https://www.eneco-refresh.com.au,17 Denninup Way,61 8 9248 7222,"['Mr. Richard  Mei', 'Mr. R.  Nusantara', 'Mr. J.  Hardwick', ""Mr. P.  O'Sullivan"", 'Mr. I.  Cameron', 'Ms. Julie  Moore LLB, GDLP']"
73,TMG,https://www.trigg.com.au,295 Rokeby Road,61 8 6555 2950,"['Mr. Timothy  Morrison', 'Mr. Neil  Inwood B.Sc., M.Sc.', 'Mr. Dan  Robinson']"
74,MMM,https://www.marleyspoon.de,Paul-Lincke-Ufer 39/40,49 17 1611 5916,"['Mr. Gilbert Fabian Siegel', 'Ms. Jennifer  Bernstein', 'Mr. Rolf  Weber', 'Ms. Nasreen  Abduljaleel', 'Dr. Mathias  Hansen', 'Mr. Jonas  Schultheiss', 'Ms. Katalin  Fritz', 'Mr. Michael  Hester']"
75,BME,https://www.blackmountainenergy.com,225 St Georges Terrace,61 8 9200 1685,"['Mr. Rhett C. Bennett CFA', 'Mr. Michael  Laurent B.E.', 'George  Witman', 'Mr. Craig Stuart Gouws A.C.A., B.Sc., BSc., C.A., CA (SA)', 'Mr. Ross  Gage', 'Mr. Jarvis  Moore', 'Mr. Paul  Stark', 'Mr. Benjamin Patrick Donovan A.C.I.S., B.Com., B.Comm (Hons)']"
76,HCT,https://www.holistaco.com,283 Rokeby Road,61 2 8072 1400,"['Dr. Rajendran  Manickavasagar B Ph.(Hons)', 'Mr. James Richard Stephenson C.A., C.M.A., C.P.A., CMA, CMA (Canada), CMA and F', 'Mee Ling  Chin', 'Mr. Bob  Lee']"
77,M3M,https://m3mining.com.au,191 St Georges Terrace,61 8 6243 6581,"['Mr. Simon Peter Eley B.A., L.L.B.', 'Mr. Benjamin Patrick Donovan A.C.I.S., B.Com., B.Comm (Hons)']"
78,PR1,https://www.pureresources.com.au,22 Townshend Road,61 8 6489 1600,"['Mr. Patric Michael Glovac B.Com.', 'Mr. Quinton James Meyers B.Com., C.A.']"
79,HCD,https://www.hydrocarbondynamics.com,412 Collins Street,61 3 9642 2899,"['Ms. Julie  Edwards', 'Mr. William  Tarantino']"
80,L1M,https://lightningminerals.com.au,Level 6,61 8 9429 8806,"['Mr. Alexander Giles Pascoe Biggs B.E.', 'Mr. Justyn Peter Stedwell B.Com, B.Com.']"
81,RLC,https://www.reedylagoon.com.au,600 Bourke Street,61 3 8420 6280,"['Mr. Geoffrey H. Fethers B.Sc.(Hons), MAusIMM']"
82,PIM,https://www.pinnacleminerals.com.au,389 Oxford Street,61 8 9426 0666,"['Mr. William John Andrew Witham B.Sc.', 'Mr. Maurice Dominic Matich', 'Mr. Jay  Stephenson C.A., C.M.A., FCIS, FCPA, M.B.A.']"
83,PUA,https://www.peakminerals.com.au,513 Hay Street,61 8 6143 6748,"[""Mr. Mathew James O'Hara"", 'Dr. Stuart  Munroe Grad. Dip., MAusiMM, Ph.D., F Fin', 'Ms. Eileen  Hao', 'Mr. Graham Charles Reveleigh B.Sc., BSc., CP(Man), M.Sc., MAusIMM, MCIMM, MSc.']"
84,MTB,https://www.mountburgess.com,800 Albany Highway,61 8 9355 0123,"['Mr. Nigel Raymond Forrester F.C.A., FCA (ICAEW)', 'Ms. Serene  Chau CPA, CPA', 'Ms. Jan E. Forrester']"
85,HRE,https://hreltd.com.au,459 Collins Street,61 3 8630 3321,"['Mr. Richard  Brescianini BSc (Hons)', 'Mr. Justin  Mouchacca B.Bus (Acc), C.A., CA']"
86,ADG,https://adelonggold.com,91 William Street,61 3 8611 5320,"['Mr. Andrew John Draffin B.Bus, B.Com., CA', 'Mr. Geoff  Muers']"
87,AOA,https://www.ausmonresources.com.au,World Tower,61 2 9264 6988,"['Mr. Qiang  Wang', 'Mr. Wong Yuet Moye Sam Yue', 'Mr. Mark D. J. Derriman BAppSC Hons, MAppSc, MBA']"
88,R8R,https://www.regener8resources.com.au,333C Charles Street,61 8 9226 2011,"['Mr. Stephen  Foley', 'Mr. Paul  Milarski', 'Mr. Matthew  Foy A.C.I.S., ACIS, AGIA, BCom, FCIS, GradDipACG, SAFi']"
89,ACM,https://auscriticalminerals.com.au,168 Stirling Highway,61 8 6165 8858,"['Mr. Dean Anthony de Largie', 'Mr. Johnathon  Busing BBus, C.A., CA', 'Ms. Sylvie  Broadway CPA']"
90,MOH,https://www.mohoresources.com.au,9 Loftus Street,61 8 9481 0389,"['Mr. Ralph  Winter B.Com.', 'Mr. Wouter  Denig']"
91,RBR,https://www.rbrgroup.com.au,945 Wellington Street,61 8 9322 7600,"['Mr. Ian Keith MacPherson B.Com., B.Comm, C.A.', 'Ms. Melissa  Fee B.Sc., C.A.', ""Mr. Cameron  O'Brien""]"
92,OCN,https://www.oceanalithium.com,33 Richardson Street,61 8 9486 4036,"['Mr. Caue Paul De Araujo B.Sc., M.A.I.C.D., M.B.A.', 'Mr. James  Abson', 'Mr. Daniel John-Edward-Alexander-Durston Smith B.A., BA, CSA(Cert), GIA (Cert), M.A.I.C.D.']"
93,SMS,https://www.starminerals.com.au,50 Kings Park Road,61 8 9321 0001,"['Mr. Christopher  Achurch B.Com., C.A.']"
94,NVQ,https://www.noviqtech.com,16 Nexus Way,61 3 8395 5446,"['Mr. Fady  El Turk', 'Mr. Eoin Patrick Flynn', 'Mr. Nevlynn  Janssen', 'Mr. Jonathan  Hart B.Com., L.L.B.']"
95,WBE,https://www.whitebarkenergy.com,20d William Street,61 8 6555 6000,"['Ms. Kaitlin Louise Smith B.Com (Acc), B.Com., CA']"
96,NYR,https://www.nyrada.com,828 Pacific Highway,61 2 9498 3390,"['Mr. James  Bonnar', 'Mr. Cameron  Jones C.A.', 'Mr. Benjamin  Evison Ph.D.', 'Mr. Dimitri  Burshtein', 'Mr. Mark  Waring B.Sc., P.M.P.', 'Mr. David James Franks BEc, C.A., F Fin, J.P.']"
97,SFM,https://www.santafeminerals.com.au,Hampden Road,61 8 9386 8382,"['Mr. Douglas John Rose', 'Mr. Henko  Vos']"
98,CMO,https://www.cosmometals.com.au,33 Ord Street,61 8 6400 5301,"['Mr. James Stewart Merrillees', 'Ms. Melanie Jane Ross A.C.I.S., AGIA, B.Com., C.A.']"
99,CRB,https://www.carbineresources.com.au,513 Hay Street,61 8 6142 0986,
100,IEC,https://intraenergycorp.com.au,2 Park Street,61 2 8280 7111,"['Mr. Benjamin  Dunn', 'Mr. Jack  Rosagro']"
101,BIM,https://www.bindimetals.com.au,London House,61 8 9481 0389,"['Mr. Henry  Renou', 'Ms. Aida  Tabakovic']"
102,NZS,https://nzcs.co,145 Stirling Highway,61 8 9389 3130,"['Mr. Sing Yin Chai', 'Jessie  Tao', 'Mr. Peter  Win', 'Mr. Peter  Fletcher', 'Melinda  Orrock', 'Zu  Ming Li']"
103,WNR,https://www.wingaraag.com.au,10 Oxley Road,61 3 9853 9631,"['Mr. Marcello  Diamante', 'Mr. Giuseppe  Rinarelli C.A.']"
104,H2G,https://www.greenhy2.com.au,680 George Street,61 1300 321 094,"['Dr. Paul Joseph Dalgleish BEng (Hons), DBA, FIEAust, MA, MAICD', 'Mr. William  Howard', 'John  Cuffe']"
105,GSM,https://goldenstatemining.com.au,"19-21, Outram Street",61 8 6323 2384,"['Mr. Michael James Moore ACSM, B.Eng (Hons), Dip CSM, MAICD, MAusIMM', 'Mr. Marc  Boudames B.Com., C.P.A., M.A.I.C.D.', 'Mr. Geoff  Willetts']"
106,EMP,https://emperorenergy.com.au,55 York Street,61 4 0227 7282,['Mr. Carl Francis Dumbrell']
107,ZMI,https://www.zincofireland.com.au,431 Roberts Road,61 8 9287 4600,"['Mr. Jerry  Monzu C.P.A., FCPA', 'Mr. Greg  Hope MAIG']"
108,VAR,https://www.variscan.com.au,7 The Esplanade,61 8 9316 9100,"['Mr. Stewart James Dickson B.A., BA (Hons), M.B.A., MBA', 'Mr. Mark Edward Pitts B Bus, F.C.A., FCA, GAICD']"
109,BMO,https://www.bastionminerals.com,22 Pitt Street,,"['Mr. Fabian  Figueroa', 'Mr. Justin Bradley Clyne A.C.I.S., AGIA, Grad Dip ACG, L.L.B., L.L.M., LLM']"
110,SUM,https://www.summitminerals.com.au,L1/389 Oxford Street,61 8 9426 0666,"['Mr. Jonathan David King B.Sc.', 'Mr. James Richard Stephenson C.A., C.M.A., C.P.A., CMA, CMA (Canada), CMA and F']"
111,BOA,https://www.boadicea.net.au,414 La Trobe Street,61 3 7047 7804,['Ms. Catherine Margaret Norman B.Sc.']
112,AQX,https://www.alicequeen.com.au,568 Chapel Street,61 3 8669 1408,"['Mr. Andrew Thomas Buxton', 'Mr. Dale  McCabe', 'Ms. Anne  Adaley NIA, PNA']"
113,OLL,https://www.openlearning.com,The Cooperage,61 2 8294 9686,"['Mr. Adam Maurice Brimo', 'Mr. David Andrew Collien', 'Linh Dieu Thi Nguyen', 'Sophea  Seng', 'Kaitlin  Hartley', 'Nasihah Sakinah Mazalan', 'Ms. Marsyitah  Ismail', 'Shannen  Bradford', 'Sharmi  Rai', 'Ms. Robyn  Slaughter']"
114,SRH,https://www.saferoads.com.au,22 Commercial Drive,61 3 5945 6600,"['Mr. Darren John Hotchkin', 'Mr. Mark  Langham', 'Mr. Trent  Loveless', 'Ms. Aimee  Taylor']"
115,CVR,https://www.cavalierresources.com.au,22 Mount Street,61 8 6188 8181,"['Mr. Ranko  Matic B.Bus, C.A.', 'Mr. Daniel Albert Tuffin B.E., B.Sc., M.A.I.C.D.', 'Mr. Simon  Acomb', 'Mr. Damon  Cox CPA']"
116,TKL,https://www.trakaresources.com.au,43 Ventnor Avenue,61 8 9322 1655,"['Mr. Patrick Andrew Verbeek B.Sc., BSc, MAusIMM', 'Mr. George Juris Petersons', 'Ms. Ira  Gibbs C.A.']"
117,NKL,https://nickelxlimited.com,The Read Buildings,61 4 1741 7907,"['Mr. Matthew George Gauci B.Sc., M.B.A., MBA', 'Mr. Steven  Wood B.Com., C.A.', ""Tom  O'Rourke""]"
118,NGS,https://ngsolutions.co,3 Hanechoshet Street,972 73 248 2618,"['Mr. Stephen J. Turner', 'Mr. Yossi  Nizhar', 'Prof. Moshe  Phillip M.D.', 'Prof. Raanan  Shamir']"
119,WSR,https://www.westar.net.au,19 Ord Street,61 8 6556 6000,"['Mr. Lindsay  Franker B.ENG., FAICD, FCA, MAusIMM, MINING Eng.', 'Mr. Jason  Boladeras BEng (Hons)', 'Mr. Benjamin Patrick Donovan A.C.I.S., B.Com., B.Comm (Hons)', 'Mr. Anthony  Tornatora']"
120,AAJ,https://www.arumaresources.com,2 Richardson Street,61 8 9321 0177,"['Mr. Glenn  Grayson', 'Mr. Phillip James MacLeod ASA, B.Bus., CPA, M.A.I.C.D., MAICD']"
121,8IH,https://www.8iholdings.com,"No. 01-01, 1557 Keppel Road",65 6225 8480,"['Mr. Kuan Tat  Chee', 'Mr. Che Koon  Tan', 'Mr. Chun Woei  Chua', 'Mr. Wee Boon  Siah', 'Yi Lin  Goh', 'Dr. Junyang  Kao', 'Ms. Puay Lin  Teo', 'Mr. Teck Huat Ang']"
122,ROC,https://www.rocketboots.com,6-10 O'Connell Street,,"['Mr. Joel Peter Rappolt', 'Mr. Harry Robin Hilliard', 'Mr. Cameron Glenn Petricevic B.Com.', 'Aaron  Seeto']"
123,MHI,https://www.lorettalee.com.hk,E-Trade Plaza,852 2889 2000,"['Ms. Loretta Bic Hing  Lee', 'Mr. C. K. Lo', 'Mr. John Maxwell Bleakie', 'Mr. David Maxwell  McArthur B.Comm.']"
