,Code,Website,Address,Phone,City,State,Zip,Country,Director1,Director2,Director3,Director4,Director5,Director6,Director7,Director8,Director9,Director10,Director11,Director12,Director13,Director14,Director15,Director16,Director17,Director18,Director19,Director20
12,KLR,https://www.kailigroup.com.au,87-89 Liverpool Street; Suite 1312,612 9246 6288,Sydney,NSW,2000,Australia,Mr. Long  Zhao,Mr. Onn Chong  Wing,"Ms. Dongmei  Ye C.P.A., MAcc. CPA",,,,,,,,,,,,,,,,,
13,NPM,https://newpeak.com.au,111 Eagle Street; Level 27,61 7 3303 0650,Brisbane,QLD,4000,Australia,"Mr. David Joseph Mason B.Sc., M.A.I.C.D., M.B.A.",Mr. John  Haley,,,,,,,,,,,,,,,,,,
14,PRM,https://www.prominenceenergy.com.au,30 Richardson Street; Level 2,61 8 9321 9886,West Perth,WA,6005,Australia,"Mr. Alexander Bevan Parks GAICD, MEng","Mr. Sonu  Cheema B.Com., CPA",,,,,,,,,,,,,,,,,,
15,PHL,https://propell.investorportal.com.au,15 Mayneview Street; Level 2,1300 804 091,Milton,QLD,4064,Australia,Mr. Michael Kane Davidson,Mr. Gary  Hazelwood,Mr. Jeremy Grant Loftus,Mr. Shawn  Loy,Mr. Adam  Gallagher,,,,,,,,,,,,,,,
16,PKO,https://www.peako.com.au,10 Yarra Street; Level 1,61 3 8610 4723,South Yarra,VIC,3141,Australia,"Ms. Raewyn Louise Clark A.C.I.S., ACIS, AGIA, B.Bus(dist), C.A., CA, M.A.I","Mr. Justin  Mouchacca B.Bus (Acc), C.A., CA",,,,,,,,,,,,,,,,,,
17,DAL,https://www.dalaroometals.com.au,346 Barker Road; Suite 1,61 8 6380 9675,Subiaco,WA,6008,Australia,Mr. Harjinder Singh Kehal B.Sc.,"Mr. John Phillip Arbuckle B.Bus, CPA",,,,,,,,,,,,,,,,,,
18,RGS,https://regeneus.com.au,16 Goodhope Street,61 1300 995 098,Paddington,NSW,2021,Australia,Mr. Karolis  Rosickas,Prof. Graham  Vesey Ph.D.,Dr. Charlotte  Morgan Ph.D.,Ling Leung Hang,,,,,,,,,,,,,,,,
19,C7A,https://clararesources.com.au,10 Eagle Street; Level 19,61 7 3303 0192,Brisbane,QLD,4000,Australia,"Mr. Pier  Westerhuis BEng, MBA",Mr. John  Haley,,,,,,,,,,,,,,,,,,
20,MGA,https://metalsgrove.com.au,123A Colin Street; Suite 6,61 8 6388 2725,West Perth,WA,6005,Australia,Mr. Anbarasan  Sivasamy MAusIMM,"Ms. Rebecca  Broughton B.Com., C.A.",,,,,,,,,,,,,,,,,,
21,JTL,https://www.jayex.com.au,17B Cribb Street,,Milton,QLD,QLD 4064,Australia,Mr. Robert  Hadley,"Ms. Melanie Jaye Leydin B.Bus, C.A.",,,,,,,,,,,,,,,,,,
22,OMX,https://www.orangeminerals.com.au,7 Havelock Street; Level 2,61 8 6102 2039,West Perth,WA,6005,Australia,Mr. David Hugh Greenwood,"Mr. Johnathon  Busing BBus, C.A., CA",,,,,,,,,,,,,,,,,,
23,MSG,https://mcssecurity.com.au,"3/108, Winton Road",61 8 9301 2420,Joondalup,WA,6027,Australia,Mr. Paul Robert Simmons,Mr. Mark  Englebert,"Mr. Jonathan Paul Asquith BA (Hons), CA, MBA",Mr. Michael  Georgiou,,,,,,,,,,,,,,,,
24,LRD,https://lordresources.com,"389 Oxford Street; Level 2, Suite 9",61 8 9380 6789,West Perth,WA,6016,Australia,"Mr. Barnaby  Egerton-Warburton B.Ec., BECON, GAICD",Ms. Georgina  Clark,,,,,,,,,,,,,,,,,,
25,OKJ,https://www.oakajeecorp.com.au,39 Clifton Street,61 8 9389 6032,Nedlands,WA,6009,Australia,Mr. Mark Wesley Jones,Mr. Henko  Vos,,,,,,,,,,,,,,,,,,
26,EMU,https://www.emunl.com.au,10 Walker Avenue,61 8 9226 4266,West Perth,WA,6005,Australia,Doug  Grewar,"Mr. Damien Paul Kelly BCom, CPA, FFINSIA, MBA",,,,,,,,,,,,,,,,,,
27,WEL,https://www.winchesterenergyltd.com,10 Outram Street; Level 1,61 8 9200 3743,West Perth,WA,6005,Australia,Mr. Douglas  Holland,Brian  Mallick,Austin  Gard,Eldar  Hasanov,Julian  Ayala,Mr. Stephen  Hermeston,Edward J. May,,,,,,,,,,,,,
28,M24,https://www.mambaexploration.com.au,25 Richardson Street; Level 2,61 8 6557 6616,West Perth,WA,6005,Australia,Mr. Simon  Andrew B.Sc.,Ms. Amanda  Burgess CPA,,,,,,,,,,,,,,,,,,
29,JAV,https://www.javelinminerals.com.au,141 St Georges Terrace; Level 14 Western Square,61 8 6316 2200,Perth,WA,6000,Australia,Mr. Matthew  Blake B.Com.,"Mr. Scott Adrian Mison A.C.A., A.C.I.S., ACIS & ACSA, AGIA, B Arts, B.A.",,,,,,,,,,,,,,,,,,
30,PKD,https://www.parkdgroup.com,337 Harborne Street,61 8 9429 8863,Osborne Park,WA,6017,Australia,Mr. Peter  McUtchen,"Mr. Kevin  Hart B.Com., F.C.A., B.Comm, FCA",,,,,,,,,,,,,,,,,,
31,GCR,https://www.goldencross.com.au,Unit 401 Level 4; 781 Pacific Highway,61 2 8379 5705,Chatswood,NSW,2067,Australia,"Mr. Guocheng  Li BA, M.A.I.C.D., M.B.A., MBA","Mr. Bret  Ferris BAppSci, GdDipCmptgStu, MAIG",Ms. Carolyn  Jacobs,Mr. Patrick Sam Yue,,,,,,,,,,,,,,,,
32,NYM,https://www.narryer.com.au,945 Wellington Street,61 8 9322 7600,West Perth,WA,6005,Australia,Dr. Gavin  England BSc (Hons),Ms. Emma Jane Wates,Mr. Cameron  O'Brien,,,,,,,,,,,,,,,,,
33,KEY,https://www.keypetroleum.com.au,3B Macquarie Street; Suite 2,61 2 9251 9088,Sydney,NSW,2000,Australia,Mr. Louis Li  Chien M.B.A.,"Mr. Ian Edward Gregory B.Bus, F Fin, FCIS, FGIA, M.A.I.C.D.",,,,,,,,,,,,,,,,,,
34,IVT,https://www.inventis.com.au,2 Southridge Street; Unit 4,61 2 8808 0400,Eastern Creek,NSW,2766,Australia,"Mr. Anthony  Mankarios B.Bus ChemEng, CFTP, FAICD, MBA (SGSM)","Mr. Michael  Green ACC, B.Com., C.P.A.",Matt  Brown,Mr. Jeffry  Stone,Benjamin  Jacka,Ms. Chantelle  Knight,,,,,,,,,,,,,,
35,HXL,https://hexima.com.au,La Trobe Institute for Molecular Science; Level 4 LIMS2 La Trobe University,61 3 9479 1210,Bundoora,VIC,3086,Australia,Ms. Helen  Molloy,"Prof. Marilyn A. Anderson A.O., AO, B.Sc., BSc (Hons), FAA, FAICD, FT",Dr. Nancy  Sacco Ph.D.,Mr. Geoffrey Paul Kempler B.Sc.,Dr. Neil  Forrester,Ms. Leanne  Ralph,,,,,,,,,,,,,,
36,SKN,https://skinelementslimited.com,1242 Hay Street,61 8 6311 1900,West Perth,WA,6005,Australia,"Mr. Peter Francis Malone M.B.A., B.Arch MBA",Mr. Craig Leslie Piercy BBus CA,Mr. Leo  Fung,"Mr. Stuart Douglas Usher A.C.I.S., B.Bus., CPA, Grad.Dip. CSP, MBA, MBA B.B",,,,,,,,,,,,,,,,
37,AFW,https://www.applyflow.com,126 Philip Street; Level 5,61 2 8072 1400,Sydney,NSW,2000,Australia,Richard  Swanton,Alison  Crealy,"Mr. David James Franks BEc, C.A., F Fin, J.P.",,,,,,,,,,,,,,,,,
38,AIV,https://www.activex.com.au,3B Macquarie Street; Suite 2,61 2 9251 9088,Sydney,NSW,2000,Australia,"Mr. Mark  Derriman B.Sc., M.B.A., P.Geo.","Mr. Xusheng  Ke M.Sc., MAusIMM, M.Eng, M.Sc (Geo)","Mr. Chi Yuen  Kuan ACIS, FCPA",,,,,,,,,,,,,,,,,
39,YPB,https://www.ypbsystems.com,126 Phillip Street; Level 5,61 8 6555 2950,Sydney,NSW,2000,Australia,Mr. John  Houston,Mr. Martin David Ross,Mr. Colin  Turner,Ms. Lucy  Rowe,Ms. Shelby  Coleman,,,,,,,,,,,,,,,
40,KLI,https://killi.com.au,945 Wellington Street,61 8 9322 7600,West Perth,WA,6005,Australia,Ms. Kathryn Mary Davies Cutler,"Ms. Emma  Wates B.Com, CA, CSA",,,,,,,,,,,,,,,,,,
41,ENT,https://www.enterprisemetals.com.au,7 Ventnor Avenue; Suite 4 Level 1,61 8 6381 0392,West Perth,WA,6005,Australia,"Mr. Graeme Ian Smith BEc, FCIS, FCPA, FCSA, MAusIMM, MBA, Mcomlaw",,,,,,,,,,,,,,,,,,,
42,SIS,https://www.simblegroup.com,383 George Street; Level 2,61 2 8208 3366,Sydney,NSW,2000,Australia,"Mr. Ben Feuvre Loiterton B.Com., L.L.B., LLB (UNSW)",Mr. Fadi  Geha,Mr. Bill  McGhie,Ms. Kim  Clark,,,,,,,,,,,,,,,,
43,IS3,https://www.i-synergygroup.com,191 St Georges Terrace; Level 5,61 2 8072 1400,Perth,WA,6850,Australia,Mr. Chee Hong  Teo,Mr. Swee Seong Mun Hoo,Mr. Chung Piow Chu,Ms. Huay Koh Shuk,Mr. Luke  Derbyshire,Mr. Poh Seng Ong,Ms. Jolini  Jothi,Mr. Han Keong Ong,Mr. Daniel  Chew,Mr. Muhammad Hibatul Muqlis,,,,,,,,,,
44,NES,https://nelsonresources.com.au,99 St Georges Terrace; Level 8,61 8 9486 4036,Perth,WA,6000,Australia,Mr. Nicholas  Ong,Ms. Tanan  Jargalsaikhan,Mr. Simon  Coxhell MAusIMM,Mr. Antony William Worth BSc,,,,,,,,,,,,,,,,
45,SRR,https://www.saramaresources.com,245 Churchill Avenue; Suite 8,61 8 9363 7600,Subiaco,WA,6008,Australia,"Mr. Andrew Robert Mune Dinning BEng, MBA",Mr. John V. Hamilton,Mr. Lui  Evangelista,Mr. Paul R. Schmiede,,,,,,,,,,,,,,,,
46,OEQ,https://www.orionequities.com.au,Suite 1; Level 1 680 Murray Street,+61 8 9214 9797,West Perth,WA,6005,Australia,"Mr. Farooq  Khan BJuris, L.L.B., LLB","Mr. Poh Hong Ho B.Com, B.Com., CTA, L.L.B., LLB",,,,,,,,,,,,,,,,,,
47,8VI,https://www.8viholdings.com,"No. 01-01, 1557 Keppel Road",65 6225 8480,Singapore,,089066,Singapore,Mr. Che Koon  Tan,Mr. Kuan Tat  Chee,Ms. Ming Li  Low,Mr. Wee Boon  Siah,Yi Lin  Goh,Dr. Junyang  Kao,Mr. Will  Huang,Mr. Junxian  Lee,Mr. Chris  Chan,Ms. Lynne  Chai,,,,,,,,,,
48,SCT,https://www.scoutalarm.com,210 George Street; Level 8,61 8 6141 3500,Sydney,NSW,2000,Australia,Mr. Ryan M. McCall,Mr. Daniel B. Roberts,Mr. Kevin  Brennan,Ms. Hilari  Smith,Mr. John B. Strong,Ms. Kim  Clark,Mr. Michael  Shaw-Taylor,,,,,,,,,,,,,
49,FFF,https://www.forbiddenfoods.com.au,16/663 Victoria Street,,Abbotsford,VIC,3067,Australia,Mr. Marcus  Brown,Mr. Jarrod  Milani,"Mr. Alex  Aleksic CPA, M.B.A.",Ms. Lucy  Rowe,,,,,,,,,,,,,,,,
50,GNM,https://www.greatnorthernminerals.com.au,33 Colin Street; Level 1,61 8 6214 0148,West Perth,WA,6005,Australia,Mr. Cameron  McLean,Mr. Mike  Barr,Ms. Aida  Tabakovic,,,,,,,,,,,,,,,,,
51,NNG,https://www.nexiongroup.io,12 Newcastle Street; Ground Floor,61 8 9441 4835,Perth,WA,6000,Australia,Mr. Peter Alister Charles Christie,Mr. Kevin  Read,Mr. John  Bell,Mr. Luke  Poyner,"Mr. Jack Hugh Toby F.C.A., FCA, MACS",Mr. Jamie  Morgan,,,,,,,,,,,,,,
52,OCT,https://octavaminerals.com,234 Churchill Avenue; Suite 1,,Subiaco,WA,6008,Australia,Mr. Bevan  Wakelam,"Mr. Mark Edward Pitts B Bus, F.C.A., FCA, GAICD",Mr. David W. McBain,,,,,,,,,,,,,,,,,
53,AHN,https://www.athenaresources.com.au,21 Millstream Rise; Hillarys,61 4 4889 5664,Perth,WA,6025,Australia,"Mr. Edmond William Edwards ACA, BCom, FAICD",Mr. Liam Patrick Kelly,,,,,,,,,,,,,,,,,,
54,DMM,https://www.dmcmining.com.au,44 St Georges Terrace; Level 27,61 8 6316 4674,Perth,WA,6000,Australia,Mr. David Thomas Sumich M.A.I.C.D.,"Mr. Bruce Roberts Errol Franzen B.Bus. CPA, FCPA, FFin",,,,,,,,,,,,,,,,,,
55,AMT,https://www.allegraorthopaedics.com,18-20 Orion Road; Level 8,61 2 9119 9200,Lane Cove West,NSW,2066,Australia,Ms. Jennifer  Swain,Mr. Vincent  Wang,Ms. Ellen  Newsom,Ms. Robyn  Slaughter,,,,,,,,,,,,,,,,
56,BP8,https://www.scu.com.sg,"Block Arcade, 96 Elizabeth St.; Level 3 Office 324",61 2 8072 1400,Melbourne,VIC,3000,Australia,Mr. Matthew  Leonard,Mr. Chow-Yee  Koh,Mr. Francesco  Cannavo,Ms. Belinda  Cleminson,Ms. Shelby  Coleman,,,,,,,,,,,,,,,
57,DY6,https://dy6metals.com,99 St George Terrace; Level 8,61 8 9486 4036,Perth,WA,6000,Australia,Mr. Lloyd  Kaiser,Mr. John  Kay L.L.B.,Muhammed Aasin Hassam,,,,,,,,,,,,,,,,,
58,DUN,https://www.dundasminerals.com,100 Railway Road; Suite 13,61 4 5702 4143,Daglish,WA,6008,Australia,"Mr. Shane Raymond Volk A.C.I.S., AGIA, BBus (Acc), CS, CSA, GradDip (ACG)",Mr. Mike  Northcott B.Sc.,,,,,,,,,,,,,,,,,,
59,M2M,https://www.mtmalcolm.com.au,8 Sarich Court; Osborne Park,61 8 6244 6617,Perth,WA,6017,Australia,Mr. Trevor John Dixon,Mr. Paul Joseph Maher,Mr. Henko  Vos,,,,,,,,,,,,,,,,,
60,M2R,https://www.miramarresources.com.au,22 Hardy Street; Unit 1,61 8 6166 6302,South Perth,WA,6151,Australia,"Mr. Allan John Kelly B.Sc., BSc (Hons), FAAG, Grad Cert Bus, MAIG",Ms. Marion  Bush,Ms. Mindy  Ku,,,,,,,,,,,,,,,,,
61,TAS,https://www.tasmanresources.com.au,197 St George’s Terrace; Level 15,61 8 9282 5889,Perth,WA,6000,Australia,"Mr. Gregory Howard Solomon L.L.B., LLB","Mr. Jamie M. Scoringe B.Com., CPA",,,,,,,,,,,,,,,,,,
62,IBX,https://imagionbiosystems.com,5601 Oberlin Drive; Suite 100,855 564 5264,San Diego,CA,92121,United States,Mr. Robert Romeo Proulx,"Mr. Geoff  Hollis AGIA, BComm, CA",,,,,,,,,,,,,,,,,,
63,C1X,https://www.cosmosx.com.au,338 Barker Road; Level 1,61 8 6143 6720,Subiaco,WA,6008,Australia,Mr. Jeremy Kim Robinson B.Com.,Mr. James Timothy Bahen B.Com.,Mr. Kristian  Hendricksen,Mr. Robert  Featherby,,,,,,,,,,,,,,,,
64,SQX,https://www.sqxresources.com,349 Hay Street,,Subiaco,WA,6008,Australia,Mr. Patric Michael Glovac,"Mr. Craig John McPherson B.Com, B.Com., CA",Mr. Ian  Kelso,"Mr. Quinton  Meyers B.Com., C.A.",,,,,,,,,,,,,,,,
65,ADC,https://acdcmetals.com.au,111 Collins Street; Level 6,61 3 8548 7880,Melbourne,VIC,3000,Australia,Mr. Thomas  Davidson,"Mr. Mark Stephen Saxon B.Sc.(Hons), FAUSIMM, GDipAppFin, MAIG, MAusIMM","Mr. Andrew John Draffin B.Bus, B.Com., CA",,,,,,,,,,,,,,,,,
66,EMS,https://easternmetals.com.au,210 George Street; Level 8,61 2 9290 9600,Sydney,NSW,2000,Australia,"Mr. Robert Harry Duffin B.Sc., BSc (Hons), FAusIMM CP, Grad Dip Mgt, M.Sc.",Ms. Leyann  Kingdom,"Mr. Ian Henry Morgan A.C.I.S., ACIS, B.Bus, C.A., CA, F Fin, GDip App F",,,,,,,,,,,,,,,,,
67,KOR,https://www.korabresources.com,20 Prowse Street; Suite 1,61 8 9474 6166,West Perth,WA,6005,Australia,"Mr. Andrej Kazimierz Karpinski FAICD, FAIBE, ASIA, SPE, F Fin",,,,,,,,,,,,,,,,,,,
68,CBH,https://coolabahmetals.com.au,London House; Level 8 216 St Georges Terrace,61 8 9481 0389,Perth,WA,6000,Australia,Mr. Cameron  Provost,"Mr. Alan David Stephen Armstrong C.A., CA",,,,,,,,,,,,,,,,,,
69,DTM,https://dartmining.com.au,10/204 Melbourne Road,61 2 9597 1198,Wodonga,VIC,3690,Australia,Mr. James Miller Chirnside,Ms. Julie  Edwards,Ms. Pam  Noonan,Dr. Benjamin  Hines,,,,,,,,,,,,,,,,
70,REM,https://remsense.com.au,580 Hay Street; Suite 173,61 8 6118 5610,Perth,WA,6000,Australia,Ms. Jillian  Rosich,Warren  Cook,Ms. Fiona  Brown,Mr. David Maxwell McArthur,,,,,,,,,,,,,,,,
71,SLZ,https://www.sultanresources.com.au,23 Railway Road; Suite 11 Level 2,61 8 6559 1792,Subiaco,WA,6008,Australia,Ms. Hannah  Cabatit,,,,,,,,,,,,,,,,,,,
72,ERG,https://www.eneco-refresh.com.au,17 Denninup Way,61 8 9248 7222,Malaga,WA,6090,Australia,Mr. Richard  Mei,Mr. R.  Nusantara,Mr. J.  Hardwick,Mr. P.  O'Sullivan,Mr. I.  Cameron,"Ms. Julie  Moore LLB, GDLP",,,,,,,,,,,,,,
73,TMG,https://www.trigg.com.au,295 Rokeby Road; Suite 1,61 8 6555 2950,Subiaco,WA,6008,Australia,Mr. Timothy  Morrison,"Mr. Neil  Inwood B.Sc., M.Sc.",Mr. Dan  Robinson,,,,,,,,,,,,,,,,,
74,MMM,https://www.marleyspoon.de,Paul-Lincke-Ufer 39/40,49 17 1611 5916,Berlin,,10999,Germany,Mr. Gilbert Fabian Siegel,Ms. Jennifer  Bernstein,Mr. Rolf  Weber,Ms. Nasreen  Abduljaleel,Dr. Mathias  Hansen,Mr. Jonas  Schultheiss,Ms. Katalin  Fritz,Mr. Michael  Hester,,,,,,,,,,,,
75,BME,https://www.blackmountainenergy.com,225 St Georges Terrace; Level 4,61 8 9200 1685,Perth,WA,6000,Australia,Mr. Rhett C. Bennett CFA,Mr. Michael  Laurent B.E.,George  Witman,"Mr. Craig Stuart Gouws A.C.A., B.Sc., BSc., C.A., CA (SA)",Mr. Ross  Gage,Mr. Jarvis  Moore,Mr. Paul  Stark,"Mr. Benjamin Patrick Donovan A.C.I.S., B.Com., B.Comm (Hons)",,,,,,,,,,,,
76,HCT,https://www.holistaco.com,283 Rokeby Road,61 2 8072 1400,Subiaco,WA,6008,Australia,Dr. Rajendran  Manickavasagar B Ph.(Hons),"Mr. James Richard Stephenson C.A., C.M.A., C.P.A., CMA, CMA (Canada), CMA and F",Mee Ling  Chin,Mr. Bob  Lee,,,,,,,,,,,,,,,,
77,M3M,https://m3mining.com.au,191 St Georges Terrace; Level 13,61 8 6243 6581,Perth,WA,6000,Australia,"Mr. Simon Peter Eley B.A., L.L.B.","Mr. Benjamin Patrick Donovan A.C.I.S., B.Com., B.Comm (Hons)",,,,,,,,,,,,,,,,,,
78,PR1,https://www.pureresources.com.au,22 Townshend Road,61 8 6489 1600,Subiaco,WA,6009,Australia,Mr. Patric Michael Glovac B.Com.,"Mr. Quinton James Meyers B.Com., C.A.",,,,,,,,,,,,,,,,,,
79,HCD,https://www.hydrocarbondynamics.com,412 Collins Street; Level 6,61 3 9642 2899,Melbourne,VIC,3000,Australia,Ms. Julie  Edwards,Mr. William  Tarantino,,,,,,,,,,,,,,,,,,
80,L1M,https://lightningminerals.com.au,Level 6; 505 Little Collins Street,61 8 9429 8806,Melbourne,VIC,3000,Australia,Mr. Alexander Giles Pascoe Biggs B.E.,"Mr. Justyn Peter Stedwell B.Com, B.Com.",,,,,,,,,,,,,,,,,,
81,RLC,https://www.reedylagoon.com.au,600 Bourke Street; Level 44,61 3 8420 6280,Melbourne,VIC,3000,Australia,"Mr. Geoffrey H. Fethers B.Sc.(Hons), MAusIMM",,,,,,,,,,,,,,,,,,,
82,PIM,https://www.pinnacleminerals.com.au,389 Oxford Street; Level 1,61 8 9426 0666,Mount Hawthorn,WA,6016,Australia,Mr. William John Andrew Witham B.Sc.,Mr. Maurice Dominic Matich,"Mr. Jay  Stephenson C.A., C.M.A., FCIS, FCPA, M.B.A.",,,,,,,,,,,,,,,,,
83,PUA,https://www.peakminerals.com.au,513 Hay Street; Suite 23 Level 1,61 8 6143 6748,Subiaco,WA,6008,Australia,Mr. Mathew James O'Hara,"Dr. Stuart  Munroe Grad. Dip., MAusiMM, Ph.D., F Fin",Ms. Eileen  Hao,"Mr. Graham Charles Reveleigh B.Sc., BSc., CP(Man), M.Sc., MAusIMM, MCIMM, MSc.",,,,,,,,,,,,,,,,
84,MTB,https://www.mountburgess.com,800 Albany Highway; Unit 8,61 8 9355 0123,East Victoria Park,WA,6101,Australia,"Mr. Nigel Raymond Forrester F.C.A., FCA (ICAEW)","Ms. Serene  Chau CPA, CPA",Ms. Jan E. Forrester,,,,,,,,,,,,,,,,,
85,HRE,https://hreltd.com.au,459 Collins Street; Level 21,61 3 8630 3321,Melbourne,VIC,3000,Australia,Mr. Richard  Brescianini BSc (Hons),"Mr. Justin  Mouchacca B.Bus (Acc), C.A., CA",,,,,,,,,,,,,,,,,,
86,ADG,https://adelonggold.com,91 William Street; Level 4,61 3 8611 5320,Melbourne,VIC,3000,Australia,"Mr. Andrew John Draffin B.Bus, B.Com., CA",Mr. Geoff  Muers,,,,,,,,,,,,,,,,,,
87,AOA,https://www.ausmonresources.com.au,World Tower; Suite 1312 87-89 Liverpool Street,61 2 9264 6988,Sydney,NSW,2000,Australia,Mr. Qiang  Wang,Mr. Wong Yuet Moye Sam Yue,"Mr. Mark D. J. Derriman BAppSC Hons, MAppSc, MBA",,,,,,,,,,,,,,,,,
88,R8R,https://www.regener8resources.com.au,333C Charles Street,61 8 9226 2011,North Perth,WA,6006,Australia,Mr. Stephen  Foley,Mr. Paul  Milarski,"Mr. Matthew  Foy A.C.I.S., ACIS, AGIA, BCom, FCIS, GradDipACG, SAFi",,,,,,,,,,,,,,,,,
89,ACM,https://auscriticalminerals.com.au,168 Stirling Highway,61 8 6165 8858,Nedlands,WA,6009,Australia,Mr. Dean Anthony de Largie,"Mr. Johnathon  Busing BBus, C.A., CA",Ms. Sylvie  Broadway CPA,,,,,,,,,,,,,,,,,
90,MOH,https://www.mohoresources.com.au,9 Loftus Street; Office 3,61 8 9481 0389,West Leederville,WA,6007,Australia,Mr. Ralph  Winter B.Com.,Mr. Wouter  Denig,,,,,,,,,,,,,,,,,,
91,RBR,https://www.rbrgroup.com.au,945 Wellington Street,61 8 9322 7600,West Perth,WA,6005,Australia,"Mr. Ian Keith MacPherson B.Com., B.Comm, C.A.","Ms. Melissa  Fee B.Sc., C.A.",Mr. Cameron  O'Brien,,,,,,,,,,,,,,,,,
92,OCN,https://www.oceanalithium.com,33 Richardson Street; Level 1,61 8 9486 4036,West Perth,WA,6005,Australia,"Mr. Caue Paul De Araujo B.Sc., M.A.I.C.D., M.B.A.",Mr. James  Abson,"Mr. Daniel John-Edward-Alexander-Durston Smith B.A., BA, CSA(Cert), GIA (Cert), M.A.I.C.D.",,,,,,,,,,,,,,,,,
93,SMS,https://www.starminerals.com.au,50 Kings Park Road; Level 2,61 8 9321 0001,Leederville,WA,6005,Australia,"Mr. Christopher  Achurch B.Com., C.A.",,,,,,,,,,,,,,,,,,,
94,NVQ,https://www.noviqtech.com,16 Nexus Way,61 3 8395 5446,Southport,QLD,4215,Australia,Mr. Fady  El Turk,Mr. Eoin Patrick Flynn,Mr. Nevlynn  Janssen,"Mr. Jonathan  Hart B.Com., L.L.B.",,,,,,,,,,,,,,,,
